2025-09-22 at 09:14:39 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-22 at 09:14:39 | INFO | Найдено 3 записей.
2025-09-22 at 09:14:41 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 2}
2025-09-22 at 09:14:41 | INFO | Найдено 0 записей.
2025-09-22 at 09:15:14 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2025-09-22 at 09:15:14 | INFO | Найдено 1 записей.
2025-09-22 at 09:15:30 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:15:30 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:15:31 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-22 at 09:15:31 | INFO | Найдено 3 записей.
2025-09-22 at 09:15:33 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2025-09-22 at 09:15:33 | INFO | Найдено 1 записей.
2025-09-22 at 09:17:51 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-22 at 09:17:51 | INFO | Найдено 3 записей.
2025-09-22 at 09:18:29 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-22 at 09:18:29 | INFO | Найдено 3 записей.
2025-09-22 at 09:19:39 | ERROR | Бот остановлен!
2025-09-22 at 09:19:45 | INFO | Бот успешно запущен.
2025-09-22 at 09:19:47 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:19:47 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:19:51 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-22 at 09:19:51 | INFO | Найдено 1 записей.
2025-09-22 at 09:20:13 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:20:13 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:20:17 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-22 at 09:20:17 | INFO | Найдено 1 записей.
2025-09-22 at 09:20:40 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:20:40 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
